Unnamed: 0,景区名称,地区,景区等级,经度BD,纬度BD,经度BD_wgs84,纬度BD_wgs84
7608,湖南大围山国家森林公园,湖南,4A,114.0900099,28.42825797,114.0839737,28.426884344999998
7609,长沙世界之窗,湖南,4A,113.0613064,28.24299681,113.0551653,28.241476900000002
7610,长沙市花明楼景区,湖南,5A,112.6505096,28.04419725,112.64457325000001,28.04299395
7611,长沙海底世界,湖南,4A,113.0625211,28.23838548,113.0563763,28.236872115
7612,长沙黑麋峰国家森林公园,湖南,4A,113.025246,28.46548305,113.01914035,28.464037400000002
7613,长沙天心阁,湖南,4A,112.987953,28.18939617,112.98188195,28.18827021
7614,湖南雷锋纪念馆,湖南,4A,112.8518228,28.20970415,112.84581545,28.20856516
7615,浏阳道吾山风景名胜区,湖南,3A,113.6069821,28.19512152,113.60099665,28.193968650000002
7616,杨开慧纪念馆,湖南,4A,113.2175363,28.59338308,113.21135945,28.59215166
7617,长沙市石燕湖生态旅游景区,湖南,4A,113.0935394,28.01477006,113.08732225,28.01347501
7618,宁乡紫龙湾旅游区,湖南,4A,112.351884,27.9862961,112.34581320000001,27.98485811
7619,湖南省森林植物园,湖南,4A,113.0384555,28.1095937,113.03236054999999,28.108062670000002
7620,长沙市浏阳胡耀邦故里旅游区,湖南,4A,113.891655,28.08399939,113.8858101,28.082590109999998
7621,长沙市靖港古镇景区,湖南,4A,112.7957338,28.46283318,112.78973035,28.461363355
7622,长沙市关山旅游区,湖南,4A,112.6848634,28.30324716,112.67893425,28.301798395
7623,浏阳花炮博物馆,湖南,2A,113.7319331,27.99627584,113.7258837,27.99497969
7624,浏阳古风洞,湖南,2A,113.8018909,28.22353842,113.7958681,28.222273265
7625,浏阳象形风景区,湖南,3A,113.8849088,28.40554095,113.8790548,28.404121245
7626,浏阳石霜寺,湖南,3A,113.6540199,27.91286857,113.64808685,27.911434915
7627,望城新康戏乡景区,湖南,3A,112.815577,28.41038753,112.80960885,28.408936705000002
7628,长沙市浏阳河婚庆文化园,湖南,3A,113.0510073,28.19650599,113.04490609999999,28.19495607
7629,长沙市书堂山欧阳询文化园,湖南,3A,112.8923744,28.4020246,112.8864135,28.40082064
7630,长沙市锦绣江南生态农庄,湖南,3A,112.8807651,28.31042524,112.87478165,28.30931082
7631,长沙市官渡古镇景区,湖南,3A,113.8891551,28.35617343,113.8832883,28.354756555
7632,长沙市赤马湖风景区,湖南,3A,113.434513,28.40204105,113.42832125,28.400604870000002
7633,长沙生态园林园,湖南,3A,113.0470315,28.30210699,113.0409376,28.30055718
7634,长沙沙坪小镇,湖南,3A,113.028801,28.36061702,113.02269895,28.359150874999997
7635,长沙宁乡迴龙山旅游区,湖南,3A,112.3605844,28.1098329,112.3544809,28.108472005000003
7636,长沙宁乡天紫漂流景区,湖南,3A,112.1348,28.206307,112.128646,28.205042329999998
7637,长沙宁乡千佛洞景区,湖南,3A,112.1457941,28.21995837,112.13963485,28.21873
7638,长沙宁乡东鹜山景区,湖南,3A,112.3683637,27.99260384,112.36224255,27.991291005
7639,长沙汉回民俗文化景区,湖南,3A,113.0451697,28.32446466,113.0390692,28.322914325
7640,秋收起义文家市会师纪念馆,湖南,4A,113.938816,28.04938601,113.93291020000001,28.048290899999998
7641,株洲市神农城炎帝文化主题公园,湖南,4A,113.130036,27.82607105,113.1238607,27.82469322
7642,株洲市酒仙湖景区,湖南,4A,113.590785,27.21620698,113.58481725,27.215126245
7643,株洲市方特欢乐世界,湖南,4A,113.2013434,27.9954054,113.19520614999999,27.994082775
7644,株洲茶陵县云阳山国家森林公园,湖南,4A,113.478508,26.76341297,113.47239350000001,26.762223545
7645,湖南神农谷国家森林公园,湖南,4A,114.0406232,26.50514462,114.03469725,26.503836225
7646,株洲炎帝陵风景名胜区,湖南,5A,113.6789067,26.42859869,113.67295555,26.42735723
7647,株洲醴陵新世纪陶瓷博物馆,湖南,3A,113.5208884,27.63554022,113.5148757,27.63403324
7648,株洲醴陵李立三故居旅游区,湖南,3A,113.537368,27.65972097,113.5313845,27.658258834999998
7649,株洲中国芦淞服饰城购物旅游景区,湖南,3A,113.163091,27.83714999,113.15698995,27.83557291
7650,株洲市悠移生态景区,湖南,3A,113.121087,27.74509802,113.114879,27.743772805
7651,株洲市杨得志故居,湖南,3A,113.144567,27.65762497,113.13842545,27.65611723
7652,株洲酒埠江仙人桥旅游区,湖南,3A,113.768441,27.17716955,113.7624859,27.17566461
7653,株洲大京湖风景名胜区,湖南,3A,113.270302,27.83576196,113.2642468,27.834298515
7654,株洲白龙洞景区,湖南,3A,113.8114305,27.22562688,113.805458,27.22443295
7655,茶陵县工农兵政府旧址旅游区,湖南,3A,113.573215,26.80212095,113.56723995,26.801042
7656,茶陵县洣江书院,湖南,3A,113.5601848,26.79200578,113.55421875,26.7908186
7657,株洲醴陵先农坛纪念馆,湖南,2A,113.5133538,27.6636113,113.50732719999999,27.66212757
7658,红军标语博物馆,湖南,3A,113.7792484,26.49437165,113.77333145,26.492946605
7659,广州市长隆旅游度假区,广州,5A,113.331839,23.00580902,113.32586475,23.00425586
7660,广州市白云山风景区,广州,5A,113.3065269,23.19121294,113.30059539999999,23.189433655000002
7661,广州中山纪念堂,广州,4A,113.271079,23.139499,113.2651976,23.137720935
7662,广州市番禺莲花山旅游区,广州,4A,113.5092327,22.99316859,113.50336354999999,22.991437734999998
7663,广州市宝墨园,广州,4A,113.3009327,22.90073345,113.29504235,22.89898386
7664,广州市黄花岗公园,广州,4A,113.301505,23.14573399,113.29560455000001,23.143935640000002
7665,广州市西汉南越王博物馆,广州,4A,113.2674736,23.14403267,113.26158735,23.14227956
7666,广州从化碧水湾温泉度假村,广州,4A,113.722412,23.70467901,113.71651944999999,23.70310662
7667,广州越秀公园,广州,4A,113.272422,23.14738702,113.26654005,23.14559835
7668,广州市陈家祠旅游景区,广州,4A,113.2519945,23.13260877,113.24608415,23.130991095
7669,中国科学院华南植物园,广州,4A,113.3653822,23.18373142,113.3593592,23.182079235
7670,广州起义烈士陵园,广州,4A,113.2922996,23.13514123,113.28641640000001,23.133309605
7671,广州动物园,广州,4A,113.311903,23.14737597,113.30597655,23.14564844
7672,广州市广东科学中心,广州,4A,113.369589,23.0453681,113.3635825,23.043709405
7673,广州九龙湖度假区,广州,4A,113.4199419,23.48080345,113.4139534,23.4788791
7674,广州市石头记矿物园,广州,4A,113.1675944,23.40698857,113.16165240000001,23.405062035
7675,广州市南海神庙景区,广州,4A,113.5046068,23.08758252,113.4987076,23.085857150000002
7676,广州市正佳广场商贸旅游区,广州,4A,113.3336306,23.13785576,113.3276491,23.136283815
7677,广州白水寨旅游区,广州,4A,113.771154,23.59925501,113.7653349,23.59738702
7678,广州市岭南印象园旅游景区,广州,4A,113.412991,23.04311801,113.40701625,23.041224565
7679,广州市南沙滨海湿地景区,广州,4A,113.626336,22.75613401,113.62058135,22.754553575000003
7680,广东圆玄道观,广州,4A,113.1867101,23.40598915,113.18076855,23.40416694
7681,广州市广州塔景区,广州,4A,113.3310845,23.11222277,113.325103,23.11064185
7682,广州百万葵园主题公园,广州,4A,113.626456,22.63443895,113.62070455,22.63287227
7683,广州南沙天后宫,广州,4A,113.623962,22.76314696,113.61820660000001,22.76158603
7684,广州北京路文化旅游区,广州,4A,113.273456,23.12820158,113.2675764,23.12641062
7685,广州市沙湾古镇景区,广州,4A,113.3409321,22.90943864,113.33494275000001,22.907937605
7686,广州神农草堂中医药博物馆,广州,4A,113.344821,23.203446,113.33879955,23.20188361
7687,十九路军淞沪抗日将士陵园,广州,3A,113.3162537,23.15073647,113.31031415000001,23.14904258
7688,广州洪秀全故居纪念馆,广州,3A,113.1792277,23.42335098,113.1732813,23.42146866
7689,广州市荔湾区博物馆,广州,3A,113.2427509,23.12546459,113.2368235,23.123918785
7690,广州市增城小楼人家景区,广州,3A,113.8102865,23.41680911,113.80444125,23.415242745
7691,广州市增城文化公园景区,广州,3A,113.8282011,23.29262839,113.8223735,23.291149265
7692,广州市溪头旅游村,广州,3A,113.873632,23.71912799,113.8679204,23.71737955
7693,广州市从化大丘园农庄,广州,3A,113.5855326,23.62915127,113.57969265,23.62770825
7694,广州市增城何仙姑景区,广州,3A,113.833275,23.38475496,113.82746525,23.383262285
7695,广州市湖心岛旅游风景区,广州,3A,113.9184145,23.45400568,113.91269589999999,23.452407465
7696,广州宝趣玫瑰世界,广州,3A,113.591056,23.62946704,113.5852201,23.6280214
7697,广州市十香园纪念馆,广州,3A,113.2803966,23.09853577,113.27450815,23.096716165
7698,广州市邓世昌纪念馆,广州,3A,113.2668989,23.10747254,113.26100495,23.105729645
7699,广州市潘鹤雕塑艺术园,广州,3A,113.3223447,23.07480473,113.31637405000001,23.073170920000003
7700,广州市梯面红山村景区,广州,3A,113.2864215,23.58513012,113.2805189,23.583247495000002
7701,广州市花都炭步镇塱头古村景区,广州,3A,113.0944891,23.342147,113.0884557,23.34049914
7702,珠江琶醍啤酒文化创意艺术区,广州,3A,113.3450499,23.11285963,113.33904390000001,23.111317345
7703,广州星期8小镇,广州,3A,113.2703694,23.18570123,113.26446775,23.183915364999997
7704,广州市南沙永乐农庄,广州,3A,113.61457,22.6690319,113.60880234999999,22.66756857
7705,中国皮具产业文化创意园,广州,3A,113.171598,23.470051,113.165659,23.468130675
7706,广州市太古仓码头,广州,3A,113.2591274,23.09457557,113.25321579999999,23.092899754999998
7707,广东修学旅游体验园（广东省旅游职业技术学校）,广州,3A,113.3290032,23.21479013,113.3230146,23.213175624999998
7708,大埔围美丽乡村景区,广州,3A,113.897274,23.223626,113.89159275,23.221893965
7709,永华艺术馆,广州,3A,113.4716723,22.96543145,113.4656747,22.96391926
7710,广州渔人码头多彩小镇,广州,3A,113.3023791,23.05525283,113.29646665,23.053475585
7711,广州二龙山花园,广州,3A,113.734874,23.35821701,113.72901730000001,23.35653973
7712,广东环亚美容化妆品博物馆,广州,3A,113.4494193,23.16199907,113.44340894999999,23.16036612
7713,广州市迪士普音响博物馆,广州,3A,113.2183784,23.27027987,113.2124253,23.268739
7714,陈李济中药文化园,广州,3A,113.314623,23.073598,113.30867380000001,23.071903550000002
